Algorithm,Experiment,Opcode Histogram,
BASELINE MEASUREMENT (NO CODE),N/A,"{'nop': 1}",
Dilithium 2,Key Generation,"{'vmovdqa': 574939, 'mov': 140721, 'nop': 49513, 'vpxor': 48294, 'add': 36500, 'vmovd': 30524, 'movl': 30199, 'vpor': 17080, 'vpsrlq': 16504, 'vpandn': 15648, 'vpsllq': 14904, 'shl': 14115, 'lea': 14043, 'vpblendd': 11472, 'movzbl': 9737, 'vpmuldq': 8064, 'sub': 5956, 'cmpl': 5386, 'vpermq': 4496, 'or': 4438, 'vmovshdup': 3600, 'push': 3384, 'ja': 3376, 'vpsubd': 3328, 'incl': 3052, 'vmovaps': 2816, 'shr': 2798, 'call': 2797, 'ret': 2797, 'pop': 2781, 'endbr64': 2494, 'cmp': 2414, 'jne': 2398, 'vpaddd': 2176, 'addq': 2025, 'subl': 2013, 'jbe': 1917, 'vpshufb': 1872, 'vmovdqu': 1596, 'vpsllvq': 1584, 'vpsrlvq': 1584, 'je': 1490, 'xor': 1486, 'orq': 1407, 'vpaddq': 1296, 'sar': 1052, 'inc': 1024, 'and': 1008, 'test': 959, 'vmovq': 779, 'addl': 772, 'vpinsrq': 768, 'popcnt': 768, 'vperm2i128': 768, 'vpand': 704, 'vpbroadcastq': 563, 'movb': 530, 'movsbl': 512, 'vpinsrb': 512, 'vmovmskps': 512, 'vpmovzxbd': 512, 'vpermd': 512, 'vpunpcklqdq': 448, 'vpsrldq': 392, 'vpunpckhqdq': 384, 'vmovsldup': 384, 'leave': 383, 'jmp': 356, 'jae': 324, 'vpbroadcastd': 312, 'movabs': 307, 'vpshufd': 264, 'dec': 264, 'vpunpcklwd': 256, 'vpmovsxbd': 256, 'vpmulhrsw': 256, 'vpmullw': 256, 'vpsubq': 256, 'jb': 203, 'shrl': 192, 'testb': 187, 'movq': 171, 'movzwl': 131, 'imul': 130, 'vpunpckldq': 128, 'vpsubb': 128, 'vblendvps': 128, 'vpsrld': 128, 'cmpq': 81, 'vpmovzxbw': 64, 'vpsllw': 64, 'vpmovmskb': 64, 'vextracti128': 64, 'pcmpeqb': 44, 'pxor': 38, 'vzeroupper': 38, 'nopl': 37, 'movdqa': 32, 'vinserti128': 32, 'jl': 29, 'js': 27, 'xchg': 26, 'div': 25, 'sete': 22, 'pmovmskb': 22, 'psubb': 21, 'setne': 19, 'movups': 19, 'neg': 19, 'data16': 19, 'movlpd': 18, 'movhpd': 18, 'bsf': 18, 'cmove': 16, 'movaps': 14, 'nopw': 14, 'xsave': 13, 'cmpw': 13, 'xrstor': 13, 'punpcklqdq': 13, 'vpbroadcastb': 12, 'cmova': 11, 'jg': 11, 'cmpb': 10, 'pslldq': 10, 'movslq': 8, 'notrack': 8, 'cmovbe': 8, 'bnd': 7, 'lock': 6, 'jle': 6, 'syscall': 5, 'por': 4, 'andl': 4, 'cmovne': 3, 'psrldq': 3, 'movdqu': 2, 'testl': 2, 'orl': 1, 'movd': 1, 'punpcklbw': 1, 'punpcklwd': 1, 'pshufd': 1}",
Dilithium 2,Signing,"{'vmovdqa': 801149, 'mov': 222612, 'nop': 65322, 'vpxor': 64548, 'add': 53578, 'vpmuldq': 42720, 'vmovd': 40311, 'movl': 40119, 'shl': 28828, 'vpblendd': 25504, 'vpsrlq': 23945, 'vpor': 23312, 'lea': 23168, 'vpandn': 20856, 'vpsllq': 19440, 'vmovshdup': 18623, 'vpsubd': 17344, 'movzbl': 14529, 'vpaddd': 9920, 'vpermq': 8136, 'cmpl': 7737, 'sub': 7515, 'vmovaps': 7040, 'incl': 5788, 'shr': 5172, 'jbe': 4190, 'and': 3822, 'or': 3804, 'push': 3635, 'call': 3502, 'ret': 3502, 'ja': 3427, 'endbr64': 3120, 'cmp': 3074, 'pop': 3016, 'jne': 2540, 'addq': 2497, 'subl': 2489, 'vpsllvq': 2448, 'vpsrlvq': 2448, 'vpaddq': 2352, 'vpshufb': 2272, 'inc': 1996, 'vperm2i128': 1952, 'vmovdqu': 1944, 'orq': 1848, 'vpbroadcastd': 1574, 'vpsubq': 1472, 'xor': 1285, 'vpunpcklqdq': 1104, 'movb': 1026, 'vpand': 1024, 'je': 988, 'vpunpckhqdq': 976, 'vmovsldup': 976, 'vpcmpgtd': 864, 'vpbroadcastq': 737, 'vpmulld': 736, 'vmovmskps': 640, 'vpermd': 640, 'popcnt': 640, 'vpabsd': 608, 'leave': 572, 'vmovq': 529, 'movabs': 527, 'addl': 516, 'vpinsrb': 512, 'vpinsrq': 512, 'vpmovzxbd': 512, 'vblendvps': 512, 'jb': 505, 'vpsrad': 480, 'dec': 428, 'jae': 415, 'vpshufd': 408, 'vpsrldq': 408, 'test': 400, 'jmp': 399, 'vpsrld': 264, 'vpunpcklwd': 256, 'vpsrlvd': 256, 'vpmulhuw': 256, 'vpmulhrsw': 256, 'movzwl': 247, 'vpunpckldq': 160, 'imul': 133, 'movq': 129, 'movswl': 128, 'vpackusdw': 128, 'vpcmpeqd': 128, 'vpsignd': 128, 'vpinsrd': 96, 'vinserti128': 64, 'vpinsrw': 64, 'vpackuswb': 64, 'vpmaddubsw': 64, 'vpmaddwd': 64, 'vzeroupper': 52, 'xchg': 36, 'cmpq': 33, 'neg': 29, 'nopl': 28, 'data16': 27, 'js': 26, 'jl': 25, 'setne': 21, 'movups': 21, 'jle': 21, 'testb': 20, 'sete': 20, 'div': 18, 'nopw': 17, 'punpcklqdq': 15, 'vpbroadcastb': 15, 'vptest': 15, 'cmpb': 11, 'cmova': 11, 'cmovbe': 9, 'jg': 9, 'movw': 8, 'bnd': 7, 'andl': 7, 'lock': 6, 'pxor': 5, 'syscall': 5, 'movdqa': 3, 'cmovne': 3, 'sar': 3, 'movdqu': 2, 'pcmpeqb': 2, 'cltq': 2, 'testl': 2, 'movaps': 2, 'cmove': 2, 'orl': 1, 'movslq': 1, 'notrack': 1, 'movd': 1, 'punpcklbw': 1, 'punpcklwd': 1, 'pshufd': 1, 'por': 1, 'pmovmskb': 1, 'bsf': 1, 'movhps': 1, 'xsave': 1, 'cmpw': 1, 'xrstor': 1}",
Dilithium 2,Verifying,"{'vmovdqa': 520533, 'mov': 77755, 'vpxor': 47440, 'nop': 43782, 'vmovd': 26913, 'movl': 26757, 'vpblendd': 19568, 'add': 18100, 'vpor': 16608, 'vpsrlq': 15416, 'vpandn': 15192, 'vpsllq': 12960, 'vpmuldq': 12672, 'vmovaps': 7936, 'lea': 7840, 'vpermq': 7312, 'shl': 6944, 'movzbl': 6513, 'vmovshdup': 5792, 'vpsubd': 5376, 'cmpl': 4628, 'vpaddd': 3328, 'incl': 3087, 'vpsllvq': 2736, 'vpsrlvq': 2736, 'ja': 2627, 'push': 2418, 'call': 2388, 'ret': 2388, 'sub': 2338, 'cmp': 2279, 'endbr64': 2108, 'jbe': 2094, 'pop': 2052, 'jne': 1868, 'addq': 1749, 'subl': 1744, 'vpaddq': 1680, 'vpshufb': 1632, 'or': 1537, 'vmovdqu': 1520, 'and': 1511, 'orq': 1223, 'shr': 1054, 'xor': 1009, 'vperm2i128': 928, 'je': 812, 'movb': 768, 'vpand': 768, 'vblendvps': 640, 'inc': 618, 'vpermd': 576, 'vpunpcklqdq': 544, 'vmovq': 531, 'dec': 514, 'addl': 512, 'vmovmskps': 512, 'vpinsrq': 512, 'vpmovzxbd': 512, 'popcnt': 512, 'vpsubq': 512, 'vpbroadcastq': 499, 'vpbroadcastd': 488, 'vpunpckhqdq': 464, 'vmovsldup': 464, 'vpshufd': 456, 'vpsrldq': 456, 'jae': 423, 'vpinsrb': 384, 'leave': 346, 'jb': 306, 'test': 290, 'movabs': 268, 'vpslld': 256, 'vpmulld': 256, 'vpcmpgtd': 256, 'jmp': 194, 'vpunpcklwd': 192, 'movzwl': 136, 'vpsrld': 132, 'vpsrlvd': 128, 'vpsrad': 128, 'vpmulhuw': 128, 'vpmulhrsw': 128, 'vpunpckldq': 112, 'movq': 104, 'cltq': 67, 'movswl': 64, 'vpackusdw': 64, 'vzeroupper': 51, 'vpinsrd': 48, 'vinserti128': 40, 'vpinsrw': 32, 'vpackuswb': 32, 'vpmaddubsw': 32, 'vpmaddwd': 32, 'data16': 27, 'punpcklqdq': 26, 'testb': 24, 'nopl': 21, 'setne': 21, 'nopw': 19, 'cmpq': 18, 'js': 16, 'neg': 16, 'xchg': 16, 'jl': 16, 'vpbroadcastb': 13, 'movups': 12, 'cmpb': 8, 'cmovbe': 8, 'cmova': 8, 'div': 8, 'andq': 6, 'sar': 5, 'jg': 5, 'movw': 4, 'andl': 3, 'bnd': 1, 'movdqu': 1, 'movdqa': 1, 'sete': 1}",
Dilithium 3,Key Generation,"{'vmovdqa': 1137489, 'mov': 233357, 'nop': 99052, 'vpxor': 93128, 'vmovd': 61089, 'movl': 60251, 'add': 57488, 'vpor': 33051, 'vpsrlq': 32428, 'vpandn': 30288, 'vpsllq': 29808, 'lea': 24191, 'shl': 17509, 'vpblendd': 16704, 'movzbl': 13767, 'vpmuldq': 11712, 'cmpl': 10944, 'sub': 9159, 'vpermq': 6832, 'incl': 6574, 'ja': 6486, 'push': 5886, 'or': 5598, 'call': 5256, 'ret': 5256, 'vmovshdup': 5180, 'vpsubd': 4992, 'vmovaps': 4992, 'pop': 4973, 'endbr64': 4744, 'cmp': 4325, 'jbe': 4188, 'jne': 4040, 'addq': 4009, 'subl': 3993, 'vpshufb': 3897, 'vmovdqu': 3282, 'shr': 3161, 'orq': 2811, 'xor': 2712, 'vpaddd': 2624, 'vpaddq': 2304, 'vpsllvq': 2304, 'vpsrlvq': 2304, 'je': 2120, 'vmovq': 1705, 'addl': 1693, 'vpinsrq': 1689, 'popcnt': 1689, 'sar': 1568, 'vpand': 1387, 'and': 1356, 'vperm2i128': 1312, 'inc': 1184, 'movsbl': 1152, 'test': 1132, 'vpbroadcastq': 1120, 'vpinsrb': 1088, 'movb': 1062, 'vmovmskps': 1024, 'vpmovzxbd': 1024, 'vpermd': 1024, 'vpunpcklqdq': 792, 'vpsrldq': 713, 'leave': 669, 'vpmovsxbd': 665, 'vpunpckhqdq': 656, 'vmovsldup': 656, 'movabs': 611, 'vpunpcklwd': 544, 'shrl': 503, 'jmp': 484, 'jae': 468, 'vpbroadcastd': 428, 'vpshufd': 384, 'dec': 384, 'vpsubq': 384, 'vpsubb': 342, 'jb': 333, 'vpunpckldq': 272, 'movq': 250, 'testb': 203, 'movzwl': 201, 'vblendvps': 192, 'vpsrld': 192, 'vpmovzxbw': 171, 'vpsllw': 171, 'vpmovmskb': 171, 'vextracti128': 165, 'cmpq': 91, 'vinserti128': 68, 'vzeroupper': 58, 'nopl': 52, 'jl': 49, 'pcmpeqb': 44, 'pxor': 38, 'js': 37, 'setne': 33, 'movdqa': 33, 'punpcklqdq': 32, 'div': 30, 'neg': 29, 'movups': 28, 'xchg': 26, 'data16': 24, 'sete': 22, 'pmovmskb': 22, 'vpbroadcastb': 22, 'psubb': 21, 'nopw': 19, 'movlpd': 18, 'movhpd': 18, 'bsf': 18, 'cmove': 16, 'cmova': 16, 'cmpb': 15, 'jg': 15, 'movaps': 14, 'notrack': 14, 'cltq': 14, 'xsave': 13, 'cmpw': 13, 'xrstor': 13, 'cmovbe': 13, 'pslldq': 10, 'movslq': 8, 'bnd': 7, 'imul': 7, 'lock': 6, 'jle': 6, 'syscall': 5, 'andl': 5, 'por': 4, 'andq': 4, 'movdqu': 3, 'cmovne': 3, 'psrldq': 3, 'testl': 2, 'orl': 1, 'movd': 1, 'punpcklbw': 1, 'punpcklwd': 1, 'pshufd': 1}",
Dilithium 3,Signing,"{'vmovdqa': 1159344, 'mov': 298519, 'nop': 96741, 'vpxor': 90171, 'add': 66370, 'vmovd': 59818, 'movl': 59414, 'vpmuldq': 43488, 'vpsrlq': 33819, 'lea': 33541, 'vpor': 32584, 'vpandn': 29352, 'vpsllq': 29160, 'shl': 29130, 'vpblendd': 23792, 'vmovshdup': 19005, 'movzbl': 18316, 'vpsubd': 17760, 'cmpl': 12015, 'sub': 10334, 'vpaddd': 10112, 'incl': 8722, 'vpermq': 7568, 'jbe': 6309, 'shr': 5883, 'vmovaps': 5568, 'ja': 5492, 'push': 5304, 'call': 5168, 'ret': 5168, 'endbr64': 4684, 'pop': 4497, 'cmp': 4301, 'or': 4174, 'addq': 3874, 'and': 3869, 'subl': 3861, 'jne': 3503, 'vpshufb': 3368, 'orq': 2762, 'vmovdqu': 2734, 'vperm2i128': 2432, 'vpaddq': 2208, 'vpsllvq': 2016, 'vpsrlvq': 2016, 'xor': 1864, 'vpbroadcastd': 1622, 'inc': 1608, 'vpand': 1568, 'vpsubq': 1472, 'je': 1425, 'movb': 1378, 'vpunpcklqdq': 1314, 'vmovmskps': 1216, 'popcnt': 1216, 'vpunpckhqdq': 1216, 'vmovsldup': 1216, 'vpbroadcastq': 1099, 'vmovq': 1038, 'addl': 1028, 'vpinsrq': 1024, 'vpmovzxbd': 1024, 'vpermd': 1024, 'vpcmpgtd': 928, 'movabs': 794, 'leave': 745, 'vpmulld': 736, 'vpabsd': 736, 'vpinsrb': 688, 'vpsrad': 544, 'test': 536, 'jb': 491, 'jmp': 463, 'jae': 427, 'dec': 360, 'vpunpcklwd': 344, 'vpshufd': 336, 'vpsrldq': 336, 'movzwl': 253, 'imul': 199, 'vpsrld': 198, 'vpunpckldq': 196, 'movq': 193, 'vblendvps': 192, 'vpmulhuw': 192, 'vpmulhrsw': 192, 'vpcmpeqd': 192, 'vpsignd': 192, 'vpsrlvd': 160, 'movswl': 96, 'vpackusdw': 96, 'vpackuswb': 72, 'vzeroupper': 50, 'vinserti128': 49, 'vpinsrw': 48, 'vpmaddubsw': 48, 'testb': 41, 'cmpq': 39, 'punpcklqdq': 39, 'jl': 37, 'xchg': 36, 'movups': 36, 'nopl': 34, 'setne': 33, 'js': 32, 'neg': 27, 'jle': 23, 'data16': 22, 'sete': 22, 'vpbroadcastb': 20, 'vptest': 17, 'jg': 15, 'cmpb': 14, 'cmova': 14, 'nopw': 14, 'cltq': 14, 'div': 13, 'cmovbe': 12, 'sar': 9, 'bnd': 7, 'lock': 6, 'movw': 6, 'pxor': 5, 'syscall': 5, 'andl': 5, 'andq': 5, 'movdqa': 4, 'movdqu': 3, 'cmovne': 3, 'pcmpeqb': 2, 'movhps': 2, 'testl': 2, 'movaps': 2, 'cmove': 2, 'orl': 1, 'movslq': 1, 'notrack': 1, 'movd': 1, 'punpcklbw': 1, 'punpcklwd': 1, 'pshufd': 1, 'por': 1, 'pmovmskb': 1, 'bsf': 1, 'xsave': 1, 'cmpw': 1, 'xrstor': 1}",
Dilithium 3,Verifying,"{'vmovdqa': 1014455, 'mov': 138203, 'vpxor': 86800, 'nop': 85962, 'vmovd': 53373, 'movl': 52912, 'vpor': 30528, 'add': 30119, 'vpsrlq': 29610, 'vpandn': 28032, 'vpsllq': 25920, 'vpblendd': 25440, 'vpmuldq': 18240, 'lea': 14409, 'shl': 10721, 'movzbl': 10130, 'vpermq': 9704, 'cmpl': 8431, 'vmovshdup': 8262, 'vpsubd': 7712, 'vmovaps': 6912, 'incl': 5355, 'ja': 5106, 'vpaddd': 4608, 'push': 4606, 'call': 4573, 'ret': 4573, 'sub': 4212, 'endbr64': 4114, 'cmp': 4077, 'pop': 3962, 'addq': 3505, 'subl': 3488, 'vpsllvq': 3456, 'vpsrlvq': 3456, 'jne': 3382, 'jbe': 3276, 'vpshufb': 3128, 'vmovdqu': 2712, 'vpaddq': 2688, 'or': 2543, 'orq': 2444, 'and': 2373, 'xor': 1775, 'vpand': 1760, 'shr': 1658, 'vperm2i128': 1536, 'je': 1393, 'movb': 1376, 'vmovq': 1048, 'addl': 1024, 'vmovmskps': 1024, 'vpinsrq': 1024, 'vpmovzxbd': 1024, 'vpermd': 1024, 'popcnt': 1024, 'vpbroadcastq': 989, 'inc': 930, 'vpunpcklqdq': 866, 'vpunpckhqdq': 768, 'vmovsldup': 768, 'vpsubq': 768, 'vpbroadcastd': 692, 'vpinsrb': 688, 'dec': 606, 'leave': 604, 'vpshufd': 576, 'vpsrldq': 576, 'jae': 573, 'movabs': 537, 'test': 468, 'jb': 454, 'vpslld': 384, 'vpmulld': 384, 'vblendvps': 384, 'vpunpcklwd': 344, 'jmp': 323, 'movzwl': 228, 'movq': 208, 'vpsrld': 198, 'vpunpckldq': 196, 'vpsrad': 192, 'vpmulhuw': 192, 'vpmulhrsw': 192, 'vpcmpgtd': 192, 'vpsrlvd': 160, 'movswl': 96, 'vpackusdw': 96, 'vpackuswb': 72, 'cltq': 71, 'vzeroupper': 71, 'punpcklqdq': 66, 'vinserti128': 49, 'testb': 48, 'vpinsrw': 48, 'vpmaddubsw': 48, 'setne': 36, 'nopl': 35, 'movups': 33, 'data16': 32, 'jl': 32, 'cmpq': 26, 'js': 24, 'neg': 24, 'nopw': 24, 'vpbroadcastb': 23, 'sar': 17, 'jg': 17, 'xchg': 16, 'cmpb': 12, 'cmovbe': 12, 'cmova': 12, 'div': 12, 'andq': 12, 'notrack': 6, 'movw': 6, 'andl': 5, 'movdqu': 4, 'movdqa': 4, 'not': 2, 'bnd': 1, 'sete': 1}",
Dilithium 5,Key Generation,"{'vmovdqa': 1895842, 'mov': 347261, 'nop': 163861, 'vpxor': 152554, 'vmovd': 101620, 'movl': 100621, 'add': 83537, 'vpsrlq': 54156, 'vpor': 54056, 'vpsllq': 49896, 'vpandn': 49728, 'lea': 36176, 'shl': 28296, 'vpblendd': 22608, 'movzbl': 20999, 'vpmuldq': 16896, 'cmpl': 15676, 'sub': 14019, 'ja': 10493, 'vpermq': 9424, 'push': 9366, 'or': 9358, 'incl': 8754, 'call': 8703, 'ret': 8703, 'pop': 7993, 'vmovaps': 7936, 'endbr64': 7882, 'vmovshdup': 7556, 'vpsubd': 7168, 'cmp': 7039, 'addq': 6732, 'subl': 6709, 'jne': 6247, 'vpshufb': 6000, 'shr': 5566, 'vmovdqu': 4802, 'orq': 4704, 'jbe': 4642, 'vpaddd': 4096, 'vpaddq': 4080, 'xor': 3724, 'vpsllvq': 3024, 'vpsrlvq': 3024, 'je': 2985, 'vmovq': 2325, 'addl': 2308, 'vpinsrq': 2304, 'popcnt': 2304, 'vperm2i128': 2272, 'vpand': 2176, 'inc': 2112, 'sar': 2087, 'and': 1949, 'vpbroadcastq': 1869, 'movb': 1826, 'vmovmskps': 1792, 'vpmovzxbd': 1792, 'vpermd': 1792, 'vpinsrb': 1408, 'test': 1356, 'vpunpcklqdq': 1312, 'vpunpckhqdq': 1136, 'vmovsldup': 1136, 'leave': 1091, 'movsbl': 1024, 'movabs': 1021, 'vpsrldq': 760, 'jae': 706, 'vpunpcklwd': 704, 'jmp': 690, 'vpbroadcastd': 640, 'jb': 535, 'vpmovsxbd': 512, 'vpmulhrsw': 512, 'vpmullw': 512, 'vpsubq': 512, 'vpshufd': 504, 'dec': 504, 'shrl': 384, 'movq': 362, 'vpunpckldq': 352, 'movzwl': 299, 'vpsubb': 256, 'vblendvps': 256, 'vpsrld': 256, 'imul': 252, 'testb': 231, 'vpmovzxbw': 128, 'vpsllw': 128, 'vpmovmskb': 128, 'vextracti128': 128, 'cmpq': 105, 'vinserti128': 88, 'vzeroupper': 82, 'jl': 77, 'nopl': 73, 'punpcklqdq': 60, 'setne': 54, 'js': 51, 'pcmpeqb': 44, 'neg': 43, 'movups': 42, 'pxor': 38, 'div': 37, 'vpbroadcastb': 36, 'movdqa': 33, 'cltq': 30, 'data16': 29, 'xchg': 26, 'nopw': 24, 'cmova': 23, 'sete': 22, 'pmovmskb': 22, 'cmpb': 22, 'jg': 22, 'psubb': 21, 'cmovbe': 20, 'movlpd': 18, 'movhpd': 18, 'bsf': 18, 'andl': 17, 'cmove': 16, 'notrack': 16, 'movaps': 14, 'xsave': 13, 'cmpw': 13, 'xrstor': 13, 'andq': 11, 'pslldq': 10, 'movslq': 8, 'bnd': 7, 'lock': 6, 'jle': 6, 'syscall': 5, 'por': 4, 'movdqu': 3, 'cmovne': 3, 'psrldq': 3, 'testl': 2, 'orl': 1, 'movd': 1, 'punpcklbw': 1, 'punpcklwd': 1, 'pshufd': 1}",
Dilithium 5,Signing,"{'vmovdqa': 2900048, 'mov': 569915, 'nop': 237108, 'vpxor': 224340, 'vmovd': 147218, 'movl': 145920, 'vpmuldq': 133728, 'add': 127850, 'vpsrlq': 88153, 'vpor': 80784, 'vpandn': 72888, 'vpsllq': 71280, 'vpblendd': 66688, 'shl': 63759, 'lea': 57762, 'vmovshdup': 57559, 'vpsubd': 51808, 'movzbl': 33345, 'vpaddd': 28192, 'cmpl': 25669, 'vpermq': 22120, 'sub': 19559, 'incl': 18905, 'vmovaps': 16384, 'vpaddq': 14256, 'jbe': 12786, 'ja': 12562, 'push': 12406, 'call': 12185, 'ret': 12185, 'cmp': 10967, 'endbr64': 10932, 'pop': 10439, 'shr': 10199, 'addq': 9109, 'subl': 9081, 'jne': 8575, 'or': 8547, 'and': 8275, 'vpshufb': 8224, 'orq': 6744, 'vmovdqu': 6574, 'vperm2i128': 5952, 'vpsllvq': 5904, 'vpsrlvq': 5904, 'vpand': 4864, 'vpsubq': 4800, 'vpbroadcastd': 4598, 'inc': 4466, 'xor': 3891, 'movb': 3842, 'vpunpcklqdq': 3280, 'je': 3246, 'vpunpckhqdq': 2976, 'vmovsldup': 2976, 'vpbroadcastq': 2713, 'vpcmpgtd': 2656, 'vpmulld': 2400, 'vmovmskps': 2048, 'popcnt': 2048, 'vpinsrb': 1920, 'leave': 1840, 'vmovq': 1833, 'addl': 1796, 'vpinsrq': 1792, 'vpmovzxbd': 1792, 'vpermd': 1792, 'movabs': 1745, 'vpabsd': 1632, 'jb': 1494, 'vpsrad': 1376, 'jae': 1112, 'jmp': 1102, 'vpsrld': 1056, 'test': 1049, 'dec': 1032, 'vpsrlvd': 1024, 'vblendvps': 1024, 'vpmulhuw': 1024, 'vpmulhrsw': 1024, 'vpshufd': 984, 'vpsrldq': 984, 'vpunpcklwd': 960, 'movzwl': 928, 'vpunpckldq': 608, 'movswl': 512, 'vpackusdw': 512, 'movq': 453, 'vpackuswb': 384, 'imul': 297, 'vpinsrw': 256, 'vpmaddubsw': 256, 'vpcmpeqd': 256, 'vpsignd': 256, 'vinserti128': 152, 'vzeroupper': 137, 'punpcklqdq': 105, 'jl': 90, 'testb': 81, 'nopl': 81, 'setne': 75, 'cmpq': 69, 'neg': 65, 'js': 62, 'movups': 61, 'data16': 59, 'xchg': 52, 'vpbroadcastb': 50, 'jle': 49, 'sete': 48, 'vptest': 43, 'nopw': 41, 'cltq': 38, 'div': 36, 'movw': 32, 'cmpb': 29, 'cmova': 29, 'cmovbe': 27, 'jg': 27, 'sar': 21, 'movdqa': 19, 'movdqu': 18, 'andq': 14, 'andl': 12, 'bnd': 7, 'lock': 6, 'pxor': 5, 'syscall': 5, 'cmovne': 3, 'movhps': 3, 'pcmpeqb': 2, 'testl': 2, 'movaps': 2, 'cmove': 2, 'orl': 1, 'movslq': 1, 'notrack': 1, 'movd': 1, 'punpcklbw': 1, 'punpcklwd': 1, 'pshufd': 1, 'por': 1, 'pmovmskb': 1, 'bsf': 1, 'xsave': 1, 'cmpw': 1, 'xrstor': 1, 'not': 1}",
Dilithium 5,Verifying,"{'vmovdqa': 1755081, 'mov': 223566, 'nop': 149539, 'vpxor': 145556, 'vmovd': 92989, 'movl': 92212, 'vpor': 51312, 'vpsrlq': 51000, 'vpandn': 47208, 'add': 46627, 'vpsllq': 45360, 'vpblendd': 33616, 'vpmuldq': 25344, 'lea': 23864, 'movzbl': 14939, 'shl': 14714, 'cmpl': 13939, 'vpermq': 13040, 'vmovshdup': 11528, 'vpsubd': 10720, 'vmovaps': 10496, 'ja': 8855, 'incl': 8590, 'push': 7874, 'call': 7855, 'ret': 7855, 'endbr64': 7114, 'sub': 7000, 'pop': 6820, 'cmp': 6657, 'vpaddd': 6144, 'addq': 6123, 'subl': 6104, 'jne': 5511, 'vpshufb': 5408, 'jbe': 4836, 'vpaddq': 4560, 'vmovdqu': 4522, 'vpsllvq': 4464, 'vpsrlvq': 4464, 'orq': 4277, 'or': 3787, 'and': 3350, 'xor': 2910, 'vpand': 2784, 'vperm2i128': 2560, 'shr': 2357, 'movb': 2272, 'je': 2096, 'vmovq': 1823, 'addl': 1792, 'vmovmskps': 1792, 'vpinsrq': 1792, 'vpmovzxbd': 1792, 'vpermd': 1792, 'popcnt': 1792, 'vpbroadcastq': 1718, 'vpunpcklqdq': 1438, 'inc': 1290, 'vpunpckhqdq': 1280, 'vmovsldup': 1280, 'vpinsrb': 1136, 'vpsubq': 1024, 'leave': 984, 'vpbroadcastd': 950, 'movabs': 935, 'dec': 797, 'jae': 788, 'vpshufd': 744, 'vpsrldq': 744, 'jb': 682, 'test': 620, 'vpunpcklwd': 568, 'vpslld': 512, 'vpmulld': 512, 'vblendvps': 512, 'jmp': 505, 'movzwl': 349, 'vpunpckldq': 316, 'movq': 288, 'vpsrld': 264, 'vpsrad': 256, 'vpmulhuw': 256, 'vpmulhrsw': 256, 'vpcmpgtd': 256, 'vpsrlvd': 224, 'movswl': 128, 'vpackusdw': 128, 'cltq': 102, 'vzeroupper': 99, 'vpackuswb': 96, 'punpcklqdq': 80, 'vinserti128': 79, 'testb': 68, 'vpinsrw': 64, 'vpmaddubsw': 64, 'jl': 56, 'nopl': 54, 'setne': 52, 'cmpq': 39, 'movups': 39, 'data16': 39, 'neg': 37, 'vpbroadcastb': 37, 'js': 36, 'nopw': 31, 'sar': 19, 'jg': 19, 'div': 19, 'cmpb': 18, 'cmovbe': 18, 'cmova': 18, 'andq': 17, 'xchg': 16, 'andl': 14, 'notrack': 8, 'movw': 8, 'movdqu': 3, 'movdqa': 3, 'bnd': 1, 'subw': 1, 'not': 1, 'sete': 1}",
