Cipher timestamp,Timestamp,Timestamp (s),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,Powertop Version,Kernel Version,System Name,CPU Stats,OS Stats,Power Usage,Unit,Baseline Power,Unit,Signatures Power,Signatures Unit,Baseline Power - W,Signatures Power - W
,36:04.4,1643646964,14.7,600,15.3,932040704,0,0,7.6,9175748608,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:06 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,344,mW,0,,0.344,0
,36:09.5,1643646969,12.8,600,15.3,931643392,0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:11 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,293,mW,0,,0.293,0
,36:14.6,1643646975,13,600,15.3,931856384,0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:16 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,311,mW,0,,0.311,0
,36:19.7,1643646980,13.2,600,15.3,931356672,0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:22 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,303,mW,0,,0.303,0
,36:24.8,1643646985,12.9,600,15.3,932032512,0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:27 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,318,mW,0,,0.318,0
,36:29.9,1643646990,13,600,15.3,932196352,0,0,7.6,9175744512,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:32 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,287,mW,0,,0.287,0
,36:35.0,1643646995,13,600,15.3,931319808,0,0,7.6,9175748608,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:37 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,348,mW,0,,0.348,0
,36:40.1,1643647000,12.9,600,15.3,931831808,0,0,7.6,9175748608,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:42 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,316,mW,0,,0.316,0
,36:45.2,1643647005,13.3,600,15.3,931463168,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:47 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,365,mW,0,,0.365,0
,36:50.3,1643647010,12.9,600,15.3,931385344,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:52 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,438,mW,0,,0.438,0
,36:55.4,1643647015,13.2,600,15.3,932253696,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:36:57 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,288,mW,0,,0.288,0
,37:00.6,1643647021,13.1,600,15.3,931344384,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:02 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,398,mW,0,,0.398,0
,37:05.7,1643647026,13.3,600,15.3,931344384,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:08 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,380,mW,0,,0.38,0
,37:10.8,1643647031,13.3,600,15.3,932376576,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:13 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,318,mW,0,,0.318,0
,37:15.9,1643647036,13.3,600,15.3,931655680,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:18 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,385,mW,0,,0.385,0
,37:21.0,1643647041,13,600,15.3,932364288,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:23 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,378,mW,0,,0.378,0
,37:26.1,1643647046,13,600,15.3,932175872,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:28 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,321,mW,0,,0.321,0
,37:31.3,1643647051,13.7,600,15.3,931303424,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:33 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,342,mW,0,,0.342,0
,37:36.4,1643647056,12.8,600,15.3,931401728,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:38 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,315,mW,0,,0.315,0
,37:41.6,1643647062,12.7,600,15.3,932421632,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:43 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,323,mW,0,,0.323,0
,37:46.7,1643647067,13,600,15.3,932233216,0,0,7.6,9175756800,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:49 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,312,mW,0,,0.312,0
,37:51.9,1643647072,13.1,600,15.3,931725312,0,0,7.6,9175752704,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:54 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,363,mW,0,,0.363,0
,37:57.0,1643647077,13.2,600,15.3,931512320,0,0,7.6,9175756800,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:37:59 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,365,mW,0,,0.365,0
,38:02.1,1643647082,13.2,600,15.3,930967552,0,0,7.6,9175756800,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:38:04 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,319,mW,0,,0.319,0
,38:07.2,1643647087,12.8,600,15.3,931368960,0,0,7.6,9175756800,v2.11-1-g7ef7f79 ran at Mon Jan 31 16:38:09 2022,Linux version 5.10.63-v7l+,,4 ARMv7 Processor rev 3 (v7l),Raspbian GNU/Linux 11 (bullseye),0,,543,mW,0,,0.543,0
