____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:52:09 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  113.1 wakeup/s;CPU:  8.6% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 39.2;Interrupt;[19] IPI;  156 mW  
  6.5%; 0.00;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ;  102 mW  
  0.0%; 18.2;Interrupt;[35] fe00b880.mailbox; 72.2 mW  
  0.0%; 16.4;Timer;tick_sched_timer; 65.2 mW  
  0.0%;  6.4;Timer;txdone_hrtimer; 25.3 mW  
  0.0%;  4.6;Interrupt;[72] eth0; 18.0 mW  
  0.0%;  3.6;Process;[PID 12] [rcu_sched]; 14.8 mW  
  0.0%;  3.6;kWork;handle_update; 14.6 mW  
  0.7%;  0.9;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 14.0 mW  
  0.0%;  2.7;Timer;hrtimer_wakeup; 10.9 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   1.2% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  98.7% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 1
 600 MHz;   1.2% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  98.8% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  0.8 ms/s; 39.2;;;;Interrupt;[19] IPI;  156 mW  
 65.3 ms/s;;;;;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ;  102 mW  
103.3 us/s; 18.2;;;;Interrupt;[35] fe00b880.mailbox; 72.2 mW  
247.5 us/s; 16.4;;;;Timer;tick_sched_timer; 65.2 mW  
 71.0 us/s;  6.4;;;;Timer;txdone_hrtimer; 25.3 mW  
  8.9 us/s;  4.6;;;;Interrupt;[72] eth0; 18.0 mW  
220.3 us/s;  3.6;;;;Process;[PID 12] [rcu_sched]; 14.8 mW  
 89.7 us/s;  3.6;;;;kWork;handle_update; 14.6 mW  
  6.6 ms/s;  0.9;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 14.0 mW  
 48.4 us/s;  2.7;;;;Timer;hrtimer_wakeup; 10.9 mW  
 15.7 us/s;  2.7;;;;kWork;kfree_rcu_work; 10.8 mW  
  4.4 ms/s;  0.9;;;;Process;[PID 748] mutter ; 10.4 mW  
181.3 us/s;  1.8;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 7.49 mW  
 33.0 us/s;  1.8;;;;kWork;dbs_work_handler; 7.26 mW  
414.2 us/s;  0.9;;;;Process;[PID 208] [v3d_bin]; 4.25 mW  
222.0 us/s;  0.9;;;;Interrupt;[7] sched(softirq); 3.95 mW  
131.9 us/s;  0.9;;;;Process;[PID 1137] pool-pcmanfm; 3.81 mW  
 36.5 us/s;  0.9;;;;Process;[PID 654] /usr/libexec/rtkit-daemon ; 3.66 mW  
 32.1 us/s;  0.9;;;;Process;[PID 39] [kcompactd0]; 3.65 mW  
 26.9 us/s;  0.9;;;;Process;[PID 437] /usr/sbin/thd --triggers /etc/triggerhappy/triggers.d/ --socket /run/thd.socket --user nobody --deviceglob /dev/input; 3.65 mW  
  1.3 us/s;  0.9;;;;Interrupt;[66] mmc1; 3.61 mW  
  0.0 us/s;  0.9;;;;kWork;phy_state_machine; 3.60 mW  
  0.0 us/s;  0.9;;;;kWork;get_values_poll; 3.60 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.60 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.60 mW  
  1.0 ms/s;;;;;Process;[PID 13] [migration/0]; 1.54 mW  
  0.9 ms/s;;;;;Interrupt;[9] RCU(softirq); 1.35 mW  
  0.9 ms/s;;;;;Process;[PID 87] [kworker/1:2]; 1.33 mW  
681.5 us/s;;;;;Process;[PID 21] [migration/2]; 1.06 mW  
651.8 us/s;;;;;Process;[PID 16] [migration/1]; 1.02 mW  
622.5 us/s;;;;;Process;[PID 1073] [kworker/1:0];  971 uW  
