____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 14:05:34 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  346.7 wakeup/s;CPU:  29.0% usage;GPU: 0 ops/s;GFX: 9.6 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.0%; 90.6;Interrupt;[66] mmc1;  359 mW  
 10.2%; 27.3;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  271 mW  
  0.6%; 57.2;Interrupt;[19] IPI;  235 mW  
 10.8%; 0.00;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  168 mW  
  1.3%; 28.2;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ;  132 mW  
  0.4%; 29.0;Process;[PID 114] [kworker/2:2H];  120 mW  
  1.4%; 14.1;Process;[PID 748] mutter ; 82.9 mW  
  0.0%; 20.2;Timer;tick_sched_timer; 80.6 mW  
  1.3%; 13.2;Process;[PID 1002] lxterminal ; 72.4 mW  
  0.5%; 11.4;Process;[PID 208] [v3d_bin]; 52.3 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
348.0 us/s; 90.6;;;;Interrupt;[66] mmc1;  359 mW  
101.6 ms/s; 27.3;;;  4.4;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  271 mW  
  6.0 ms/s; 57.2;;;;Interrupt;[19] IPI;  235 mW  
107.8 ms/s;;;;;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  168 mW  
 13.1 ms/s; 28.2;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ;  132 mW  
  3.5 ms/s; 29.0;;;;Process;[PID 114] [kworker/2:2H];  120 mW  
 14.1 ms/s; 14.1;;;  5.3;Process;[PID 748] mutter ; 82.9 mW  
401.0 us/s; 20.2;;;;Timer;tick_sched_timer; 80.6 mW  
 13.0 ms/s; 13.2;;;;Process;[PID 1002] lxterminal ; 72.4 mW  
  4.6 ms/s; 11.4;;;;Process;[PID 208] [v3d_bin]; 52.3 mW  
  1.4 ms/s; 11.4;;;;Process;[PID 437] /usr/sbin/thd --triggers /etc/triggerhappy/triggers.d/ --socket /run/thd.socket --user nobody --deviceglob /dev/input; 47.3 mW  
586.7 us/s;  7.9;;;;Process;[PID 12] [rcu_sched]; 32.2 mW  
 61.5 us/s;  5.3;;;;kWork;kfree_rcu_monitor; 21.0 mW  
 80.7 us/s;  4.4;;;;kWork;dbs_work_handler; 17.5 mW  
  3.7 ms/s;  2.6;;;;Process;[PID 209] [v3d_render]; 16.2 mW  
105.4 us/s;  3.5;;;;kWork;kfree_rcu_work; 14.1 mW  
 49.8 us/s;  2.6;;;;Interrupt;[35] fe00b880.mailbox; 10.5 mW  
  0.9 ms/s;  1.8;;;;Interrupt;[79] v3d; 8.36 mW  
216.7 us/s;  1.8;;;;Timer;hrtimer_wakeup; 7.29 mW  
 84.7 us/s;  1.8;;;;Interrupt;[50] vc4 crtc; 7.08 mW  
 52.9 us/s;  1.8;;;;Timer;txdone_hrtimer; 7.03 mW  
  1.3 ms/s;  0.9;;;;Interrupt;[0] HI_SOFTIRQ; 5.47 mW  
  1.1 ms/s;  0.9;;;;Process;[PID 11] [ksoftirqd/0]; 5.23 mW  
  1.0 ms/s;  0.9;;;;Interrupt;[7] sched(softirq); 5.03 mW  
  3.2 ms/s;;;;;Process;[PID 1350] [kworker/0:1]; 5.00 mW  
315.2 us/s;  0.9;;;;Process;[PID 1839] pool-pcmanfm; 3.97 mW  
  2.5 ms/s;;;;;Process;[PID 1490] [kworker/u8:1]; 3.96 mW  
263.0 us/s;  0.9;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 3.89 mW  
 68.8 us/s;  0.9;;;;Process;[PID 525] /usr/bin/epmd -systemd ; 3.58 mW  
