____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 14:05:07 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  159.5 wakeup/s;CPU:  13.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  9.1%; 13.3;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  195 mW  
  0.1%; 28.4;Timer;tick_sched_timer;  113 mW  
  0.3%; 25.7;Interrupt;[19] IPI;  107 mW  
  0.4%; 18.6;Process;[PID 208] [v3d_bin]; 79.1 mW  
  0.3%; 11.5;Process;[PID 209] [v3d_render]; 50.4 mW  
  0.1%;  9.7;Process;[PID 12] [rcu_sched]; 39.6 mW  
  0.1%;  8.0;Interrupt;[79] v3d; 32.5 mW  
  1.3%;  2.7;Process;[PID 748] mutter ; 31.2 mW  
  0.0%;  6.2;kWork;kfree_rcu_work; 24.7 mW  
  0.0%;  6.2;kWork;kfree_rcu_monitor; 24.7 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
 91.1 ms/s; 13.3;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  195 mW  
  0.7 ms/s; 28.4;;;;Timer;tick_sched_timer;  113 mW  
  3.5 ms/s; 25.7;;;;Interrupt;[19] IPI;  107 mW  
  3.6 ms/s; 18.6;;;;Process;[PID 208] [v3d_bin]; 79.1 mW  
  3.1 ms/s; 11.5;;;;Process;[PID 209] [v3d_render]; 50.4 mW  
677.2 us/s;  9.7;;;;Process;[PID 12] [rcu_sched]; 39.6 mW  
647.8 us/s;  8.0;;;;Interrupt;[79] v3d; 32.5 mW  
 13.3 ms/s;  2.7;;;;Process;[PID 748] mutter ; 31.2 mW  
126.5 us/s;  6.2;;;;kWork;kfree_rcu_work; 24.7 mW  
104.6 us/s;  6.2;;;;kWork;kfree_rcu_monitor; 24.7 mW  
 70.2 us/s;  4.4;;;;kWork;dbs_work_handler; 17.6 mW  
  7.4 ms/s;  0.9;;;;Process;[PID 1002] lxterminal ; 15.1 mW  
126.3 us/s;  3.5;;;;Timer;it_real_fn; 14.2 mW  
  2.7 ms/s;  1.8;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 11.2 mW  
 79.4 us/s;  2.7;;;;Interrupt;[35] fe00b880.mailbox; 10.6 mW  
 34.5 us/s;  2.7;;;;Timer;txdone_hrtimer; 10.6 mW  
  2.7 ms/s;  0.9;;;;kWork;rb_free_work; 7.77 mW  
144.4 us/s;  1.8;;;;Timer;hrtimer_wakeup; 7.23 mW  
106.2 us/s;  1.8;;;;Interrupt;[50] vc4 crtc; 7.17 mW  
  0.9 ms/s;  0.9;;;;Interrupt;[7] sched(softirq); 4.92 mW  
  3.0 ms/s;;;;;Interrupt;[9] RCU(softirq); 4.62 mW  
472.2 us/s;  0.9;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 4.24 mW  
 88.8 us/s;  0.9;;;;Process;[PID 39] [kcompactd0]; 3.64 mW  
 46.9 us/s;  0.9;;;;Process;[PID 885] /usr/libexec/gvfs-afc-volume-monitor ; 3.57 mW  
 33.5 us/s;  0.9;;;;kWork;drm_mode_rmfb_work_fn; 3.55 mW  
  5.2 us/s;  0.9;;;;Interrupt;[66] mmc1; 3.51 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.50 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.50 mW  
  0.0 us/s;  0.9;;;;kWork;commit_work; 3.50 mW  
  0.0 us/s;  0.9;;;;kWork;phy_state_machine; 3.50 mW  
  1.0 ms/s;;;;;Process;[PID 1490] [kworker/u8:1]; 1.49 mW  
  0.7 ms/s;;;;;Process;[PID 1283] [kworker/1:3]; 1.13 mW  
